ID задачи;Название;Область;Число навыков;Навыки;Длительность от, мин;Длительность до, мин
T0001;Установка электрощитка;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0002;Сборка щита учёта;Электромонтаж;2;Электромонтаж, Измерения;40;80
T0003;Замена автоматов в этажном щите;Электромонтаж;1;Электромонтаж;20;45
T0004;Монтаж ВРУ в помещении ввода;Электромонтаж;3;Электромонтаж, Электробезопасность, Монтаж;70;120
T0005;Проверка изоляции линий щита;Электромонтаж;2;Электромонтаж, Измерения;40;80
T0006;Подключение трёхфазного ввода;Электромонтаж;2;Электромонтаж, Электробезопасность;40;80
T0007;Установка: электрощиток;Электромонтаж;1;Электромонтаж;20;45
T0008;Сборка: электрощиток;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0009;Ревизия: электрощиток;Электромонтаж;3;Электромонтаж, Монтаж, Электробезопасность;70;120
T0010;Замена автоматов в: электрощиток;Электромонтаж;1;Электромонтаж;20;45
T0011;Подключение: электрощиток;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0012;Демонтаж: электрощиток;Электромонтаж;3;Электромонтаж, Демонтаж, Электробезопасность;70;120
T0013;Установка: щит учёта;Электромонтаж;1;Электромонтаж;20;45
T0014;Сборка: щит учёта;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0015;Ревизия: щит учёта;Электромонтаж;3;Электромонтаж, Монтаж, Электробезопасность;70;120
T0016;Замена автоматов в: щит учёта;Электромонтаж;1;Электромонтаж;20;45
T0017;Подключение: щит учёта;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0018;Демонтаж: щит учёта;Электромонтаж;3;Электромонтаж, Демонтаж, Электробезопасность;70;120
T0019;Установка: ВРУ;Электромонтаж;1;Электромонтаж;20;45
T0020;Сборка: ВРУ;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0021;Ревизия: ВРУ;Электромонтаж;3;Электромонтаж, Монтаж, Электробезопасность;70;120
T0022;Замена автоматов в: ВРУ;Электромонтаж;1;Электромонтаж;20;45
T0023;Подключение: ВРУ;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0024;Демонтаж: ВРУ;Электромонтаж;3;Электромонтаж, Демонтаж, Электробезопасность;70;120
T0025;Установка: щит освещения;Электромонтаж;1;Электромонтаж;20;45
T0026;Сборка: щит освещения;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0027;Ревизия: щит освещения;Электромонтаж;3;Электромонтаж, Монтаж, Электробезопасность;70;120
T0028;Замена автоматов в: щит освещения;Электромонтаж;1;Электромонтаж;20;45
T0029;Подключение: щит освещения;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0030;Демонтаж: щит освещения;Электромонтаж;3;Электромонтаж, Демонтаж, Электробезопасность;70;120
T0031;Установка: этажный щит;Электромонтаж;1;Электромонтаж;20;45
T0032;Сборка: этажный щит;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0033;Ревизия: этажный щит;Электромонтаж;3;Электромонтаж, Монтаж, Электробезопасность;70;120
T0034;Замена автоматов в: этажный щит;Электромонтаж;1;Электромонтаж;20;45
T0035;Подключение: этажный щит;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0036;Демонтаж: этажный щит;Электромонтаж;3;Электромонтаж, Демонтаж, Электробезопасность;70;120
T0037;Установка: щит серверной;Электромонтаж;1;Электромонтаж;20;45
T0038;Сборка: щит серверной;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0039;Ревизия: щит серверной;Электромонтаж;3;Электромонтаж, Монтаж, Электробезопасность;70;120
T0040;Замена автоматов в: щит серверной;Электромонтаж;1;Электромонтаж;20;45
T0041;Подключение: щит серверной;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0042;Демонтаж: щит серверной;Электромонтаж;3;Электромонтаж, Демонтаж, Электробезопасность;70;120
T0043;Установка: бокс на фасаде;Электромонтаж;1;Электромонтаж;20;45
T0044;Сборка: бокс на фасаде;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0045;Ревизия: бокс на фасаде;Электромонтаж;3;Электромонтаж, Монтаж, Работа на высоте;70;120
T0046;Замена автоматов в: бокс на фасаде;Электромонтаж;1;Электромонтаж;20;45
T0047;Подключение: бокс на фасаде;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0048;Демонтаж: бокс на фасаде;Электромонтаж;3;Электромонтаж, Демонтаж, Работа на высоте;70;120
T0049;Установка: щит вентиляции;Электромонтаж;1;Электромонтаж;20;45
T0050;Сборка: щит вентиляции;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0051;Ревизия: щит вентиляции;Электромонтаж;3;Электромонтаж, Монтаж, Электробезопасность;70;120
T0052;Замена автоматов в: щит вентиляции;Электромонтаж;1;Электромонтаж;20;45
T0053;Подключение: щит вентиляции;Электромонтаж;2;Электромонтаж, Монтаж;40;80
T0054;Демонтаж: щит вентиляции;Электромонтаж;3;Электромонтаж, Демонтаж, Электробезопасность;70;120
T0055;Сварка муфты на магистрали;Оптика и GPON;2;Оптика, Работа в колодце;40;80
T0056;Установка терминала у клиента;Оптика и GPON;2;Оптика, Абонентское оборудование;40;80
T0057;Разварка кросса в серверной;Оптика и GPON;3;Оптика, Монтаж, Документирование;70;120
T0058;Рефлектометрия участка линии;Оптика и GPON;2;Оптика, Измерения;40;80
T0059;Прокладка оптики в квартиру;Оптика и GPON;2;Оптика, Монтаж;40;80
T0060;Пусконаладка порта на станции;Оптика и GPON;2;Оптика, Пусконаладка;40;80
T0061;Монтаж: оптическая муфта;Оптика и GPON;1;Оптика;20;45
T0062;Сварка на: оптическая муфта;Оптика и GPON;2;Оптика, Монтаж;40;80
T0063;Измерение: оптическая муфта;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0064;Замена: оптическая муфта;Оптика и GPON;1;Оптика;20;45
T0065;Чистка портов: оптическая муфта;Оптика и GPON;2;Оптика, Монтаж;40;80
T0066;Демонтаж: оптическая муфта;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0067;Монтаж: кросс в серверной;Оптика и GPON;1;Оптика;20;45
T0068;Сварка на: кросс в серверной;Оптика и GPON;2;Оптика, Монтаж;40;80
T0069;Измерение: кросс в серверной;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0070;Замена: кросс в серверной;Оптика и GPON;1;Оптика;20;45
T0071;Чистка портов: кросс в серверной;Оптика и GPON;2;Оптика, Монтаж;40;80
T0072;Демонтаж: кросс в серверной;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0073;Монтаж: абонентский терминал;Оптика и GPON;1;Оптика;20;45
T0074;Сварка на: абонентский терминал;Оптика и GPON;2;Оптика, Монтаж;40;80
T0075;Измерение: абонентский терминал;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0076;Замена: абонентский терминал;Оптика и GPON;1;Оптика;20;45
T0077;Чистка портов: абонентский терминал;Оптика и GPON;2;Оптика, Монтаж;40;80
T0078;Демонтаж: абонентский терминал;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0079;Монтаж: оптический кабель в канализации;Оптика и GPON;1;Оптика;20;45
T0080;Сварка на: оптический кабель в канализации;Оптика и GPON;2;Оптика, Монтаж;40;80
T0081;Измерение: оптический кабель в канализации;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0082;Замена: оптический кабель в канализации;Оптика и GPON;1;Оптика;20;45
T0083;Чистка портов: оптический кабель в канализации;Оптика и GPON;2;Оптика, Монтаж;40;80
T0084;Демонтаж: оптический кабель в канализации;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0085;Монтаж: кабель до квартиры;Оптика и GPON;1;Оптика;20;45
T0086;Сварка на: кабель до квартиры;Оптика и GPON;2;Оптика, Монтаж;40;80
T0087;Измерение: кабель до квартиры;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0088;Замена: кабель до квартиры;Оптика и GPON;1;Оптика;20;45
T0089;Чистка портов: кабель до квартиры;Оптика и GPON;2;Оптика, Монтаж;40;80
